Portal,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Total de notícias extraídas do portal
Carta Capital,0,0,0,315,171,180,162,97,213,150,432,369,400,427,624,714,335,75,4664
Classificadas como relevantes [1],0,0,0,5,0,7,2,0,16,0,0,0,0,0,0,0,0,0,30
Classificadas como não relevantes [0],0,0,0,69,3,169,159,97,178,114,402,17,0,0,1,1,0,0,1210
Classificadas como dúvida [2],0,0,0,8,0,4,1,0,10,1,2,0,0,0,0,0,0,0,26
Não classificadas,0,0,0,233,168,0,0,0,9,35,28,352,400,427,623,713,335,75,3398
Correio do Povo,93,235,188,102,76,116,143,126,159,148,143,366,2284,1359,1160,962,1917,185,9763
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,93,235,188,102,76,116,143,126,159,148,143,366,2283,1358,1159,962,1917,185,9759
Le Monde Brasil Diplomatique,168,98,212,169,160,154,162,178,236,306,355,737,450,411,388,331,191,13,4787
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],165,94,211,2,1,0,4,104,0,53,0,0,0,0,0,0,0,12,646
Classificadas como dúvida [2],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Não classificadas,3,4,0,167,159,154,158,74,236,253,355,737,450,411,388,331,191,1,4072
G1,0,499,3247,3562,4826,1613,1959,1579,1205,1075,1069,2008,3715,6489,3509,836,3678,212,41083
Classificadas como relevantes [1],0,0,73,84,81,152,69,85,2,0,0,9,0,4,0,0,0,0,559
Classificadas como não relevantes [0],0,2,911,1252,2196,1295,1279,1489,21,0,1,140,4,74,0,0,0,0,8664
Classificadas como dúvida [2],0,0,30,21,26,33,13,0,0,0,0,0,0,0,0,0,0,0,123
Não classificadas,0,497,2233,2205,2523,133,598,5,1182,1075,1068,1859,3711,6411,3509,836,3678,212,31735
Diário da Manhã,0,0,0,0,0,0,429,280,143,135,60,90,231,133,101,47,117,33,1799
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Não classificadas,0,0,0,0,0,0,429,280,143,135,60,90,231,133,101,47,117,21,1787
Folha de São Paulo,1731,2076,1667,1633,1380,1367,1162,884,1044,1085,1066,1127,1171,1252,1593,1680,1983,319,24222
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,1731,2076,1665,1633,1380,1367,1162,884,1044,1085,1066,1127,1171,1252,1593,1680,1983,319,24218
Estadão,872,1187,1128,2478,283,307,287,195,261,305,282,634,473,380,438,544,953,116,11123
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,872,1187,1128,2478,283,307,287,195,261,305,282,634,473,380,438,544,953,116,11123
