Portal,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total de notícias extraídas do portal
CartaCapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Correio do Povo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Monde Brasil Diplomatique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diario do Amanha,0,0,0,0,0,0,429,279,143,134,60,89,226,131,101,47,117,1768
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
